topRoute,category,author,dynasty,title,sentence,link
三五七言,古诗,仓央嘉措,清,十诫诗,但曾相见便相知，相见何如不见时。,https://www.gushiwen.cn/search.aspx?value=十诫诗&valuej=十
三五七言,古诗,刘禹锡,唐,酬乐天扬州初逢席上见赠,沉舟侧畔千帆过，病树前头万木春。,https://www.gushiwen.cn/search.aspx?value=酬乐天扬州初逢席上见赠&valuej=酬
三五七言,古诗,唐庚,北宋,风树吟,树欲静兮风不止，子欲养兮亲不待。,https://www.gushiwen.cn/search.aspx?value=风树吟&valuej=风
三五七言,古诗,屈原,战国,离骚,路漫漫其修远兮，吾将上下而求索。,https://www.gushiwen.cn/search.aspx?value=离骚&valuej=离
三五七言,古诗,李涉,唐,题鹤林寺僧舍,因过竹院逢僧话，偷得浮生半日闲。,https://www.gushiwen.cn/search.aspx?value=题鹤林寺僧舍&valuej=题
三五七言,古诗,李白,唐,三五七言,长相思兮长相忆，短相思兮无穷极。,https://www.gushiwen.cn/search.aspx?value=三五七言&valuej=三
三五七言,古诗,李白,唐,南陵别儿童入京,仰天大笑出门去，我辈岂是蓬蒿人。,https://www.gushiwen.cn/search.aspx?value=南陵别儿童入京&valuej=南
三五七言,古诗,李白,唐,将进酒,天生我材必有用，千金散尽还复来。,https://www.gushiwen.cn/search.aspx?value=将进酒&valuej=将
三五七言,古诗,李白,唐,梦游天姥吟留别,安能摧眉折腰事权贵，使我不得开心颜？,https://www.gushiwen.cn/search.aspx?value=梦游天姥吟留别&valuej=梦
三五七言,古诗,李白,唐,行路难·其一,长风破浪会有时，直挂云帆济沧海。,https://www.gushiwen.cn/search.aspx?value=行路难·其一&valuej=行
三五七言,古诗,白居易,唐,长恨歌,天长地久有时尽，此恨绵绵无绝期。,https://www.gushiwen.cn/search.aspx?value=长恨歌&valuej=长
三五七言,古诗,苏轼,北宋,自题金山画像,心似已灰之木，身如不系之舟。,https://www.gushiwen.cn/search.aspx?value=自题金山画像&valuej=自
三五七言,古诗,范成大,南宋,重九日行营寿藏之地,纵有千年铁门槛，终须一个土馒头。,https://www.gushiwen.cn/search.aspx?value=重九日行营寿藏之地&valuej=重
三五七言,古诗,陆游,南宋,冬夜读书示子聿,纸上得来终觉浅，绝知此事要躬行。,https://www.gushiwen.cn/search.aspx?value=冬夜读书示子聿&valuej=冬
三五七言,曲词,岳飞,南宋,满江红·写怀,莫等闲，白了少年头，空悲切！,https://www.gushiwen.cn/search.aspx?value=满江红·写怀&valuej=满
三五七言,曲词,曹雪芹,清,红楼梦十二曲·引子,开辟鸿蒙，谁为情种？都只为风月情浓。,https://www.gushiwen.cn/search.aspx?value=红楼梦十二曲·引子&valuej=红
三五七言,曲词,曹雪芹,清,红楼梦十二曲·终身误,叹人间，美中不足今方信：纵然是齐眉举案，到底意难平。,https://www.gushiwen.cn/search.aspx?value=红楼梦十二曲·终身误&valuej=红
三五七言,曲词,柳永,北宋,蝶恋花·伫倚危楼风细细,衣带渐宽终不悔，为伊消得人憔悴。,https://www.gushiwen.cn/search.aspx?value=蝶恋花·伫倚危楼风细细&valuej=蝶
三五七言,曲词,汤显祖,明,皂罗袍·原来姹紫嫣红开遍,良辰美景奈何天，赏心乐事谁家院！,https://www.gushiwen.cn/search.aspx?value=皂罗袍·原来姹紫嫣红开遍&valuej=皂
三五七言,曲词,王国维,近代,蝶恋花·阅尽天涯离别苦,最是人间留不住，朱颜辞镜花辞树。,https://www.gushiwen.cn/search.aspx?value=蝶恋花·阅尽天涯离别苦&valuej=蝶
三五七言,曲词,苏轼,北宋,定风波·南海归赠王定国侍人寓娘,试问岭南应不好，却道：此心安处是吾乡。,https://www.gushiwen.cn/search.aspx?value=定风波·南海归赠王定国侍人寓娘&valuej=定
三五七言,曲词,苏轼,北宋,望江南·超然台作,休对故人思故国，且将新火试新茶。诗酒趁年华。,https://www.gushiwen.cn/search.aspx?value=望江南·超然台作&valuej=望
三五七言,曲词,辛弃疾,南宋,青玉案·元夕,众里寻他千百度。蓦然回首，那人却在，灯火阑珊处。,https://www.gushiwen.cn/search.aspx?value=青玉案·元夕&valuej=青
三五七言,文言,张载,北宋,横渠四句,为天地立心，为生民立命，为往圣继绝学，为万世开太平。,https://www.gushiwen.cn/search.aspx?value=横渠四句&valuej=横
三五七言,文言,归有光,明,项脊轩志,庭有枇杷树，吾妻死之年所手植也，今已亭亭如盖矣。,https://www.gushiwen.cn/search.aspx?value=项脊轩志&valuej=项
三五七言,文言,曹雪芹,清,宁府上房对联,世事洞明皆学问，人情练达即文章。,https://www.gushiwen.cn/search.aspx?value=宁府上房对联&valuej=宁
三五七言,文言,王勃,唐,滕王阁序,关山难越，谁悲失路之人；萍水相逢，尽是他乡之客。,https://www.gushiwen.cn/search.aspx?value=滕王阁序&valuej=滕
三五七言,文言,诸葛亮,三国,诫子书,非淡泊无以明志，非宁静无以致远。,https://www.gushiwen.cn/search.aspx?value=诫子书&valuej=诫
三五七言,文言,陶渊明,东晋,归去来兮辞,悟已往之不谏，知来者之可追。,https://www.gushiwen.cn/search.aspx?value=归去来兮辞&valuej=归
三五七言,文言,司马迁,西汉,史记,士为知己者死，女为悦己者容。,https://www.baidu.com/s?wd=士为知己者死，女为悦己者容。
三五七言,文言,司马迁,西汉,史记,高山仰止，景行行止。 虽不能至，然心向往之。,https://www.baidu.com/s?wd=高山仰止，景行行止。 虽不能至，然心向往之。
三五七言,文言,庄子,战国,庄子·至乐,生亦何欢，死亦何苦。,https://www.baidu.com/s?wd=生亦何欢，死亦何苦。
三五七言,文言,老子,春秋,老子·五十六章,知者不言，言者不知。,https://www.baidu.com/s?wd=知者不言，言者不知。
三五七言,文言,范晔,南朝宋,后汉书·冯异传,失之东隅，收之桑榆。,https://www.baidu.com/s?wd=失之东隅，收之桑榆。
三五七言,文言,高明,元,琵琶记,我本将心向明月，奈何明月照沟渠。,https://www.baidu.com/s?wd=我本将心向明月，奈何明月照沟渠。
三五七言,白话,吴敬梓,清,儒林外史,三十年河东，三十年河西，莫欺少年穷,https://www.baidu.com/s?wd=三十年河东，三十年河西，莫欺少年穷
三五七言,白话,汪国真,当代,热爱生命,既然选择了远方，便只顾风雨兼程。,https://www.baidu.com/s?wd=既然选择了远方，便只顾风雨兼程。
三五七言,白话,泰戈尔,印度,飞鸟集,世界以痛吻我，却要我报之以歌。,https://www.baidu.com/s?wd=世界以痛吻我，却要我报之以歌。
三五七言,白话,泰戈尔,印度,飞鸟集,生如夏花之绚烂，死如秋叶之静美。,https://www.baidu.com/s?wd=生如夏花之绚烂，死如秋叶之静美。
三五七言,白话,笛卡尔,法国,哲学命题,我思故我在。,https://www.baidu.com/s?wd=我思故我在。
三五七言,白话,苏格拉底,古希腊,自辩辞,我唯一知道的，就是我一无所知。,https://www.baidu.com/s?wd=我唯一知道的，就是我一无所知。
三五七言,白话,路遥,当代,平凡的世界,不要见怪，不要见外。,https://www.baidu.com/s?wd=不要见怪，不要见外。